date	ouv	haut	bas	clot	vol	devise	
23/11/2022 00:00	702	703	695	701.9	231994	EUR	
24/11/2022 00:00	700	704	697.1	702.2	245547	EUR	
25/11/2022 00:00	702.2	702.5	693.2	700.2	312997	EUR	
28/11/2022 00:00	694.7	701.2	690.6	698.7	373031	EUR	
29/11/2022 00:00	704.7	706.9	699.8	702	294301	EUR	
30/11/2022 00:00	708	737.3	706.5	737.3	1688007	EUR	
01/12/2022 00:00	736.9	737.9	717.1	721	392901	EUR	
02/12/2022 00:00	715	722.5	707.3	715.3	366917	EUR	
05/12/2022 00:00	716.4	718.5	710.1	714.5	291430	EUR	
06/12/2022 00:00	713	715.3	708.4	714.2	347705	EUR	
07/12/2022 00:00	707.6	717.5	707.2	712.8	336217	EUR	
08/12/2022 00:00	713.2	721.7	711.6	719	279248	EUR	
09/12/2022 00:00	721.9	726.8	715.4	720.3	310103	EUR	
12/12/2022 00:00	714.6	719.3	711.4	716.2	318952	EUR	
13/12/2022 00:00	717.6	739.4	714.7	726.7	433319	EUR	
14/12/2022 00:00	724.2	729.5	718.4	727.4	380723	EUR	
15/12/2022 00:00	718.8	720	691	701.6	563978	EUR	
16/12/2022 00:00	695	698.6	684.6	693.8	911104	EUR	
19/12/2022 00:00	695.5	702	686.3	687.3	336614	EUR	
20/12/2022 00:00	681	683.6	676.1	682.9	355677	EUR	
21/12/2022 00:00	687	691.7	682.7	691.5	352533	EUR	
22/12/2022 00:00	691.3	695.8	681.3	684	273558	EUR	
23/12/2022 00:00	681.5	683.2	670.1	673.8	240791	EUR	
27/12/2022 00:00	683.3	692.7	682.3	690.2	249850	EUR	
28/12/2022 00:00	692.3	694.7	685.8	686.6	196630	EUR	
29/12/2022 00:00	684.7	699	682.2	696.5	198655	EUR	
30/12/2022 00:00	696.6	696.6	676.6	679.9	272368	EUR	
02/01/2023 00:00	689.4	695	685.1	694.1	194703	EUR	
03/01/2023 00:00	691.5	711.3	691.3	702.8	316482	EUR	
04/01/2023 00:00	714.9	738	710.9	738	570725	EUR	
05/01/2023 00:00	729	734.7	722.1	728.4	327709	EUR	
06/01/2023 00:00	734	748.8	728.8	748.8	318415	EUR	
09/01/2023 00:00	748	761.6	746.1	759.6	484146	EUR	
10/01/2023 00:00	748.7	758.4	747.2	756.3	327301	EUR	
11/01/2023 00:00	764.6	775.3	759.5	772.3	450736	EUR	
12/01/2023 00:00	769.2	787.9	768.9	773.7	462249	EUR	
13/01/2023 00:00	780.6	787.6	772.8	785.3	375528	EUR	
16/01/2023 00:00	788.2	793.8	782	792.7	278890	EUR	
17/01/2023 00:00	789.3	803.3	787	797.4	388436	EUR	
18/01/2023 00:00	789.7	805.8	787.2	801.9	425156	EUR	
19/01/2023 00:00	798.7	799.6	774.7	776.6	493048	EUR	
20/01/2023 00:00	783	789.8	775	782.8	430218	EUR	
23/01/2023 00:00	786.8	791.1	776.6	788.1	244069	EUR	
24/01/2023 00:00	790.3	795.3	786.1	794.8	325598	EUR	
25/01/2023 00:00	793.5	799.7	787.1	792.3	282357	EUR	
26/01/2023 00:00	797.1	804.2	794.5	801.6	308282	EUR	
27/01/2023 00:00	785.6	808.2	783.7	801	508869	EUR	
30/01/2023 00:00	791.8	799.7	786.7	798.8	296812	EUR	
31/01/2023 00:00	797.4	802.6	792.6	800	334681	EUR	
01/02/2023 00:00	800	802.1	792.2	795.5	292831	EUR	
02/02/2023 00:00	798.3	812.8	795.3	809.1	403666	EUR	
03/02/2023 00:00	807	830.5	804.5	829.4	505251	EUR	
06/02/2023 00:00	820.2	825.7	807.4	814.2	289604	EUR	
07/02/2023 00:00	812.6	814	800.7	807.4	340163	EUR	
08/02/2023 00:00	814.3	818.1	798.5	800.1	319321	EUR	
09/02/2023 00:00	807.7	813.8	806.9	809.2	275337	EUR	
10/02/2023 00:00	804.7	808	790.8	797.6	395687	EUR	
13/02/2023 00:00	800.5	812.9	798	810.3	244265	EUR	
14/02/2023 00:00	811.3	817.6	804.5	810.5	263811	EUR	
15/02/2023 00:00	809.3	830	807.6	822.6	378844	EUR	
16/02/2023 00:00	821.8	829.2	818.1	823.3	314812	EUR	
17/02/2023 00:00	814.2	823.6	804.6	818.4	439757	EUR	
20/02/2023 00:00	820.5	820.5	810.1	813.6	168536	EUR	
21/02/2023 00:00	808.6	812.3	798.5	808.9	264826	EUR	
22/02/2023 00:00	801.4	812.1	793.9	809.5	289482	EUR	
23/02/2023 00:00	809.7	814.3	806.6	809	273432	EUR	
24/02/2023 00:00	811.4	812.7	777.3	777.3	839007	EUR	
27/02/2023 00:00	788.3	800.2	787.6	794.8	312317	EUR	
28/02/2023 00:00	790	795.8	787.4	789	440118	EUR	
01/03/2023 00:00	803.3	810.5	790.9	792.2	379198	EUR	
02/03/2023 00:00	785.3	805.9	780.9	804.3	350482	EUR	
